date,tweet_id,content,username,retweets,likes,replies;;;
2023-04-11 14:04:40+00:00,1645789966793072642,Vor dem Brötzinger #Frühlingsfest: Feuerwehr rückt lose #Ziegel zurecht https://t.co/DgaQZQgrF4,pznews,0,0,0;;;
"2023-04-11 02:20:42+00:00,1645612808141262848,""German Beer, Bavarian Food, Spring Cocktails, Stein Holding Contest, and more!! #Frühlingsfest https://t.co/q9HCugEDUm"",WundergartenDC,1,2,0";;;
2023-04-10 16:08:24+00:00,1645458720665620481,Hier so Party on. Und bei euch? #Fruehlingsfest https://t.co/Kj7ZZpd3M8,frolueb,0,0,0;;;
2023-04-10 12:28:17+00:00,1645403323686612993,Schmingus Dingus Day 😂🤣  #schmingusdingus #Easter #Fruehlingsfest #traditional #scmingusdyngus #Egghunt https://t.co/SoIHWZxJhP,Betty_Giletzki,0,0,0;;;
2023-04-10 08:01:06+00:00,1645336085453471744,Frühlingssonne – die ersten grauen Haare waren gestern  #haiku #senryu #Fruehlingsfest #micropoetry   https://t.co/WDTVVBOUFh,LimbachEva,0,1,0;;;
"2023-04-10 07:53:03+00:00,1645334060800040960,""Ich habe sie gehört, die erste Biene, Wespe oder Hummel. Jedenfalls ist sie immer neugierig, was bei mir so lis ist. Schnell wieder Fenster zu, damit sie lieber da draußen auf Tour geht 😂.  #Fruehlingsfest Frühjahr war alles besser 😉. #Fruehjahr und Natur erwacht 😎😇😃 https://t.co/4ZURbpgBxv"",derdanym,0,0,0";;;
"2023-04-10 07:52:33+00:00,1645333935545565184,""@Pleione_28 @kkrestel Falsch. Im Herbst heißt es Herbstvolksfest. Auch #Frühlingsfest ist ein Volksfest, das von #Volksfest #Nürnberg organisiert wird. Dieser Name ist in der Werbung unbedingt zu erwähnen. Frühlingsfeste gibt es in D. viel zu viele."",Yal01095746,0,1,0";;;
2023-04-09 16:40:59+00:00,1645104533238870016,#Nürnberger #Volksfest #Nürnberg #Franken #Fahrgeschäfte #Rundgang #Bayern #Mittelfranken #Schausteller #Frühlingsfest #Nürnberger Frühlingsfest #Frühlingsfest 2023   https://t.co/So1ZYFUl1Z,grizzly20001054,0,0,0;;;
"2023-04-09 15:54:02+00:00,1645092714352869377,""Freier Fall aus fast 85 Metern Höhe - der #Hangover, der der höchste transportable #Freifallturm der #Welt - jetzt auf dem #Frühlingsfest #Hannover 🎠. https://t.co/mH1LmyknoC"",hannoverfotogr1,0,2,0";;;
"2023-04-07 14:06:48+00:00,1644340954877313024,""Das kosten Riesenrad, Autoscooter, Achterbahn und Co. beim #Frühlingsfest in #Stuttgart  https://t.co/ec3RWlPzSb"",StZ_NEWS,0,1,0";;;
